id,source,target,quote,headline,url,actors_ok,direction_ok,polarity,real_event,mediation,notes
E001,Iran,Israel,"there were no protests in Iran at the moment, despite threats from Israel and the US","Trump informed Iran he does not intend to attack, asked Tehran to exercise restraint: envoy",https://www.dawn.com/news/1967109/trump-informed-iran-he-does-not-intend-to-attack-asked-tehran-to-exercise-restraint-envoy,,,,,,
E002,Pakistan,Iran,call on the parties to protect the security of ships and crew members stranded in the Strait of Hormuz,"Pakistan, China issue 5-point initiative for restoring peace in Middle East",https://www.dawn.com/news/1987106/pakistan-china-issue-5-point-initiative-for-restoring-peace-in-middle-east,,,,,,
E003,US,Pakistan,No more trade with the United States,"In fresh comments on Pak-India May conflict, Trump says PM Shehbaz called to say he ‘saved millions’",https://www.dawn.com/news/1956202/in-fresh-comments-on-pak-india-may-conflict-trump-says-pm-shehbaz-called-to-say-he-saved-millions,,,,,,
E004,US,Iran,"Trump, in an interview with Politico on Saturday, called for an end to Khamenei’s nearly 40-year reign",Iran warns attack on Khamenei would be declaration of war,https://www.theguardian.com/world/2026/jan/18/iran-warns-world-that-any-attack-on-ayatollah-ali-khamenei-would-be-declaration-of-war,,,,,,
E005,Iran,US,there will certainly be a proportionate and immediate retaliation,Iran is becoming more defiant in face of US-Israeli onslaught,https://www.theguardian.com/world/2026/mar/10/iranian-regime-is-not-weakening-in-face-of-us-israel-onslaught-but-becoming-more-defiant,,,,,,
E006,Iran,US,the consequences of escalating tensions will also fall on the United States,"Iran halts military operations against Israel, warns of harsher attacks if strikes on Lebanon persist",https://www.dawn.com/news/2006111/iran-halts-military-operations-against-israel-warns-of-harsher-attacks-if-strikes-on-lebanon-persist,,,,,,
E007,Pakistan,US,"Baghaei, claimed Pakistan has shared Tehran’s latest proposal with the US",Trump claims planned attack on Iran postponed after Tehran makes new proposal to end war,https://www.theguardian.com/world/2026/may/18/iran-new-proposal-deal-to-end-war-us-israel,,,,,,
E008,UN,Israel,UN Secretary-General Antonio Guterres called on both sides to stop fighting,Israel strikes Iran as Trump says Tehran wants deal to end war,https://www.dawn.com/news/1985490/israel-strikes-iran-as-trump-says-tehran-wants-deal-to-end-war,,,,,,
E009,China,UAE,Xi told Abu Dhabi’s crown prince on Tuesday that China would play a “ constructive role ” in promoting peace talks in the Middle East,Xi meets Russian FM as leaders flock to China over Middle East war,https://www.dawn.com/news/1991931/xi-meets-russian-fm-as-leaders-flock-to-china-over-middle-east-war,,,,,,
E010,Iran,Pakistan,"confident that contacts between us and Pakistan, as well as our other friends in the region, will continue",JD Vance says talks failed due to Iran’s refusal to give up nuclear programme,https://www.theguardian.com/world/2026/apr/12/jd-vance-says-no-deal-us-iran-pakistan-talks-islamabad,,,,,,
E011,Pakistan,Iran,"“Subject to concurrence by the US and Iran, Pakistan stands ready and honoured to be the host to facilitate meaningful and conclusive talks for a comprehensive settlement of the ongoing conflict,” said Sharif writing on X on Tuesday.",JD Vance role touted as Pakistan attempts to broker US-Iran peace talks ,https://www.theguardian.com/world/2026/mar/24/pakistan-army-chief-iran-peace-talks-trump-call,,,,,,
E012,Israel,UAE,The two leaders met for several hours in Al Ain,Benjamin Netanyahu says he made secret trip to UAE at height of Iran war,https://www.theguardian.com/world/2026/may/13/benjamin-netanyahu-made-secret-trip-to-uae-at-height-of-the-iran-war,,,,,,
E013,Israel,UAE,met with UAE President Sheikh Mohammed bin Zayed Al Nahyan,UAE 'denies reports' of secret Netanyahu visit,https://www.dawn.com/news/2000091/uae-denies-reports-of-secret-netanyahu-visit,,,,,,
E014,Pakistan,US,Pakistan would soon host talks between the US and Iran,Iran accuses US of plotting ground assault while publicly seeking talks,https://www.theguardian.com/world/2026/mar/29/iran-accuses-us-plotting-ground-assault-publicly-seeking-talks,,,,,,
E015,Israel,Lebanon,Israeli strikes hit Beirut’s southern suburbs on Monday,Israel launches new strikes on Tehran as Trump pauses Iran energy attacks,https://www.theguardian.com/world/2026/mar/23/israel-launches-new-strikes-on-tehran-as-trump-pauses-iran-energy-attacks,,,,,,
