outlet,phase,source,target,polarity,raw_verb,quote,doc_id
dawn,pre,Qatar,Israel,negative,questions,Qatar questions why Israel hasn’t ceased Gaza operations,15_0
dawn,pre,US,Israel,positive,expressed optimism,"Trump, however, expressed optimism on Tuesday about progress toward a Gaza deal",15_0
dawn,pre,US,Israel,positive,seeking,The US is seeking a ceasefire and prisoner deal,15_0
dawn,pre,Qatar,Israel,negative,says,Qatar says key gaps persist as Israel’s Gaza offensive and global protests continue,15_0
dawn,pre,Egypt,US,positive,said,Egypt’s Foreign Minister Badr Abdelatty said that a US delegation led by presidential envoy Steve Witkoff would join talks aimed at a truce in Gaza and prisoner exchange on Wednesday,15_0
dawn,pre,US,Israel,positive,called on,the US president had called on Israel to cease fire in Gaza,15_0
dawn,pre,US,Israel,negative,must immediately stop,Israel must immediately stop the bombing of Gaza,15_0
dawn,pre,US,China,neutral,issued,"The United States issued 86,647 visas to students from mainland China in August",17_0
dawn,pre,US,China,positive,voiced hope for ramping up the number of chinese students,"Trump, however, has voiced hope for ramping up the number of Chinese students to boost relations between the two powers",17_0
dawn,pre,US,Iran,negative,show a sharp drop in student visas,"The latest figures also show a sharp drop in student visas from many Muslim-majority countries, with admissions from Iran dropping by 86pc",17_0
dawn,pre,US,Qatar,positive,allowed,Qatar will be allowed to build an air force facility at Mountain Home Air Base in Idaho,41_0
dawn,pre,US,Qatar,positive,vowing to defend,vowing to defend the Gulf Arab state against attacks,41_0
dawn,pre,US,Qatar,positive,signing a letter of acceptance,We’re signing a letter of acceptance to build a Qatari Emiri Air Force facility at the Mountain Home Air Base in Idaho,41_0
dawn,pre,US,Qatar,positive,thanked,Hegseth also thanked Qatar for its “substantial role” as a mediator in the talks that led to a truce and hostage-prisoner swap deal between Israel and Hamas,41_0
dawn,pre,Qatar,US,positive,hailed,"The Qatari minister hailed the “strong, enduring partnership” and “deep defense relationship” shared by the two countries",41_0
dawn,pre,US,Israel,positive,announced,US President Donald Trump has announced that Israel and Hamas have agreed to the first phase of a ceasefire in Gaza,26_0
dawn,pre,Qatar,Israel,positive,helped broker,"Qatar, which helped broker the deal along with Egypt, the United States and Turkiye",26_0
dawn,pre,Qatar,Israel,positive,said,"Qatar, which helped broker the deal along with Egypt, the United States and Turkiye, said the deal was the “first phase of the Gaza ceasefire agreement",26_0
dawn,pre,Qatar,Israel,positive,agreed,Qatari foreign ministry spokesman Majed al-Ansari said both sides have already agreed “on all the provisions and implementation mechanisms of the first phase of the Gaza ceasefire agreement”,26_0
dawn,pre,Pakistan,Israel,neutral,confirmed,we have confirmed that former senator Mushtaq Ahmad Khan is in the custody of the Israeli occupying forces,0_0
dawn,pre,Pakistan,Israel,neutral,advised,"We have been further advised that, in accordance with local legal procedures, Senator Mushtaq will be presented before a court",0_0
