surface,count
US,13992
Iran,13173
Trump,7856
Israel,5108
Iranian,4379
Israeli,3593
Tehran,2515
UK,1914
Pakistan,1881
Donald Trump,1873
Washington,1844
Lebanon,1833
the United States,1635
China,1554
India,1363
Hormuz,1362
Gaza,1323
Russia,1174
American,1098
Hezbollah,1059
Ukraine,1005
UN,840
British,794
Russian,736
Hamas,696
Australia,696
Palestinian,670
Reuters,651
Dawn,636
European,636
Netanyahu,582
Saudi Arabia,581
Iraq,568
Qatar,562
Starmer,542
Venezuela,541
AFP,530
Islamabad,526
Iranians,521
UAE,501
Britain,493
Indian,480
Lebanese,468
France,463
Congress,463
Nato,458
AI,441
Republican,440
Americans,438
Chinese,432
Guardian,419
Beijing,414
Palestinians,411
Democrats,402
Afghanistan,400
EU,390
America,386
Dubai,380
Khamenei,378
the White House,375
Pentagon,374
Kuwait,351
Syria,346
Oman,343
Moscow,333
White House,310
Beirut,305
London,303
Germany,300
Bahrain,299
IRGC,298
Japan,296
Hegseth,295
Pakistani,294
Benjamin Netanyahu,292
Democratic,289
French,287
Egypt,286
Republicans,282
Keir Starmer,269
Greenland,267
Australian,262
Ukrainian,258
Senate,257
Marco Rubio,256
Taiwan,255
the United Arab Emirates,249
Islamic,248
Putin,248
Rubio,245
Truth Social,241
Saudi,238
Spain,238
Canada,234
Ayatollah Ali Khamenei,226
Venezuelan,218
supreme,217
Abbas Araghchi,216
Araghchi,214
Muslim,214
Maduro,208
Turkiye,208
WASHINGTON,205
The United States,204
Vance,203
Jewish,197
House,193
Pete Hegseth,192
Arab,191
Xi,191
New York,187
Yemen,186
Cuba,182
Turkey,181
Taliban,180
South Korea,178
Italy,174
New Delhi,173
United States,172
Kurdish,172
Zelensky,168
JD Vance,167
Thailand,166
Geneva,163
Steve Witkoff,158
Labour,158
Bangladesh,157
Syrian,156
German,155
LNG,153
Afghan,152
Masoud Pezeshkian,152
State,150
Paris,147
Riyadh,146
Fox News,145
the West Bank,144
Denmark,141
Jerusalem,140
Jordan,139
Democrat,136
Iraqi,136
West Bank,135
Leo,134
California,133
Albanese,132
Israelis,130
Vladimir Putin,128
Turkish,126
BBC,126
Indonesia,125
Tel Aviv,125
the United Nations,121
Florida,117
Donald Trump’s,117
CNN,116
FBI,115
Sudan,114
The White House,114
Pahlavi,114
Kremlin,111
Australians,111
Ali Khamenei,109
Mojtaba Khamenei,108
Macron,107
Abu Dhabi,106
Singapore,102
Mandelson,102
Doha,102
the Gaza Strip,101
Asian,101
Shehbaz Sharif,100
Revolutionary Guards,100
Cambodia,99
Sri Lanka,99
CIA,99
Jared Kushner,98
US Central Command,98
Cyprus,98
Emmanuel Macron,97
RSF,96
North Korea,96
Palestine,94
Philippines,94
Narendra Modi,93
Xi Jinping,93
IAEA,93
Kyiv,91
the Islamic Republic,90
Nigeria,89
Maga,89
Norway,89
Google,88
Axios,88
Hasina,87
Caracas,87
Texas,86
Italian,86
Christian,84
Minneapolis,84
