relation_bucket,verb_phrase,count
UNMAPPED,say,3475
UNMAPPED,include,715
UNMAPPED,have,671
UNMAPPED,make,447
UNMAPPED,say on,442
UNMAPPED,accord to,442
UNMAPPED,continue,415
UNMAPPED,tell,389
UNMAPPED,report,336
UNMAPPED,claim,332
UNMAPPED,say in,328
UNMAPPED,add,327
UNMAPPED,seek,284
UNMAPPED,want,282
UNMAPPED,follow,252
UNMAPPED,allow,242
UNMAPPED,take,239
UNMAPPED,remain,232
UNMAPPED,begin,228
UNMAPPED,lead,211
UNMAPPED,suggest,195
UNMAPPED,appear,193
UNMAPPED,stop,189
UNMAPPED,give,187
UNMAPPED,see,183
UNMAPPED,believe,178
UNMAPPED,help,174
UNMAPPED,try,171
UNMAPPED,destroy,169
UNMAPPED,announce,162
UNMAPPED,expect,154
UNMAPPED,leave,151
UNMAPPED,reopen,141
UNMAPPED,show,140
UNMAPPED,aim at,135
UNMAPPED,ask,127
UNMAPPED,describe as,124
UNMAPPED,fail,122
UNMAPPED,face,119
UNMAPPED,force,118
UNMAPPED,cause,118
UNMAPPED,’,117
UNMAPPED,join,116
UNMAPPED,enrich,114
UNMAPPED,confirm,113
UNMAPPED,start,110
UNMAPPED,base,110
UNMAPPED,think,109
UNMAPPED,maintain,108
UNMAPPED,cite,107
UNMAPPED,trigger,104
UNMAPPED,negotiate,103
UNMAPPED,argue,103
UNMAPPED,lead to,100
UNMAPPED,plan,99
UNMAPPED,grow,99
UNMAPPED,note,98
UNMAPPED,become,96
UNMAPPED,hope,93
UNMAPPED,need,93
UNMAPPED,offer,89
UNMAPPED,mean,89
UNMAPPED,keep,88
UNMAPPED,know,87
UNMAPPED,renew,87
UNMAPPED,find,86
UNMAPPED,secure,85
UNMAPPED,state,85
UNMAPPED,set,84
UNMAPPED,enter,84
UNMAPPED,tell on,82
UNMAPPED,halt,81
UNMAPPED,escalate,80
UNMAPPED,carry out,80
UNMAPPED,respond to,80
UNMAPPED,close,80
UNMAPPED,open,79
UNMAPPED,ensure,75
UNMAPPED,declare,74
UNMAPPED,see as,74
AGREE,reach,189
AGREE,agree,149
